company_name,website,contact_email,linkedin_url,location,niche,relevance_score,status,source,scraped_at
Fifty One Degrees,https://51d.co,,https://www.linkedin.com/company/fifty-one-degrees,"London, UK","AI consulting, AI agents, generative AI",10,active,web_search,2026-03-30T12:10:00+00:00
Opinov8,https://opinov8.com,,https://www.linkedin.com/company/opinov8,"London, UK","AI consulting, software development, MVP development",10,active,web_search,2026-03-30T12:10:00+00:00
Digica,https://digica.com,,https://www.linkedin.com/company/digica,"Altrincham, Cheshire, UK","AI consulting, machine learning, computer vision, data science",10,active,web_search,2026-03-30T12:10:00+00:00
Fast Data Science,https://fastdatascience.com,,https://www.linkedin.com/company/fast-data-science,UK,"AI consulting, NLP, machine learning",9,active,web_search,2026-03-30T12:10:00+00:00
iwantmore.ai,https://iwantmore.ai,,,UK,"AI consulting, automation, AI strategy, AI training",9,active,web_search,2026-03-30T12:10:00+00:00
The Bot Factory,https://thebotfactory.co,,,"Birmingham / Edinburgh / Manchester, UK","AI automation, chatbots, AI phone agents, workflow automation",9,active,web_search,2026-03-30T12:10:00+00:00
6B Digital,https://6b.digital,,https://www.linkedin.com/company/6b-digital,"Wakefield, West Yorkshire, UK","AI consulting, web & app development, business systems",9,active,web_search,2026-03-30T12:10:00+00:00
Fifty Five and Five,https://fiftyfiveandfive.com,,https://www.linkedin.com/company/fifty-five-and-five,"London, UK",AI tools for sales and marketing teams,8,active,web_search,2026-03-30T12:10:00+00:00
B13.ai,https://b13.ai,,,"Birmingham, UK","AI consulting, digital product development",8,active,web_search,2026-03-30T12:10:00+00:00
Volcron AI,,,,"Manchester, UK","AI consulting, automation for SMBs",7,unverified,web_search,2026-03-30T12:10:00+00:00
MQLFlow,,,,"Hertfordshire, UK","AI automation, enterprise AI for SMEs",7,unverified,web_search,2026-03-30T12:10:00+00:00
Koning & Ballard,,,,UK,"AI strategy, AI assurance, public sector AI",7,unverified,web_search,2026-03-30T12:10:00+00:00
Simple AI,,,,UK,"Voice AI, AI phone agents",7,unverified,web_search,2026-03-30T12:10:00+00:00
Bell Integration AI,https://bell-integration.com,,https://www.linkedin.com/company/bell-integration,UK,"AI consulting, IT integration, AI programme delivery",8,active,web_search,2026-03-30T12:10:00+00:00
Anglara,https://anglara.com,,,UK,"AI consulting, AI strategy",7,active,web_search,2026-03-30T12:10:00+00:00
Weframe Tech,https://weframetech.com,,,"London, UK","AI marketing, AI-driven digital marketing",7,active,web_search,2026-03-30T12:10:00+00:00
Limeup,https://limeup.io,,https://www.linkedin.com/company/limeup,UK,"AI development, software development",7,active,web_search,2026-03-30T12:10:00+00:00
Debut Infotech,https://debutinfotech.com,,https://www.linkedin.com/company/debut-infotech,UK,"AI development, blockchain, mobile apps",7,active,web_search,2026-03-30T12:10:00+00:00
Atomic Digital Marketing,https://atomic.digital,,,UK,"AI marketing, SEO, PPC, content automation",6,active,web_search,2026-03-30T12:10:00+00:00
Speed MVPs,https://speedmvps.com,,,UK,"AI product development, MVP builds",6,active,web_search,2026-03-30T12:10:00+00:00
